"id";"title";"description";"image"
"1";"The BFG";"Kidsnatched from her orphange by a BFG (Big Friendly Giant), who spends his life blowing happy dreams to children, Sophie concocts with him a plan to save the world from nine other man-gobbling cannybull giants.";"https://covers.openlibrary.org/b/id/7890698-L.jpg"
"2";"Snow crash";"Within the Metaverse, Hiro is offered a datafile named Snow Crash by a man named Raven who hints that it is a form of narcotic. Hiro's friend and fellow hacker Da5id views a bitmap image contained in the file which causes his computer to crash and Da5id to suffer brain damage in the real world.";"https://covers.openlibrary.org/b/id/8619290-L.jpg"
"3";"The Help";"
Aibileen is a black maid in 1962 Jackson, Mississippi, raising her seventeenth white child. She's always taken orders quietly, but lately it leaves her with a bitterness she can no longer bite back. Her friend Minny has certainly never held her tongue, or held on to a job for very long, but now she's working for a newcomer with secrets that leaver her speechless. And whit socialite Skeeter has just returned from college with ambition and a degree but, to her mother's lament, no husband. Normally Skeeter would find solace in Constantine, the beloved maid who raised her, but Constantine has inexplicably disappeared.";"https://covers.openlibrary.org/b/id/8373352-L.jpg"
"4";"The Shadow of the Wind";"Barcelona, 1945—just after the war, a great world city lies in shadow, nursing its wounds, and a boy named Daniel awakes on his eleventh birthday to find that he can no longer remember his mother’s face. To console his only child, Daniel’s widowed father, an antiquarian book dealer, initiates him into the secret of the Cemetery of Forgotten Books, a library tended by Barcelona’s guild of rare-book dealers as a repository for books forgotten by the world, waiting for someone who will care about them again. Daniel’s father coaxes him to choose a volume from the spiraling labyrinth of shelves, one that, it is said, will have a special meaning for him. And Daniel so loves the novel he selects, The Shadow of the Wind by one Julian Carax, that he sets out to find the rest of Carax’s work. To his shock, he discovers that someone has been systematically destroying every copy of every book this author has written. In fact, he may have the last one in existence. Before Daniel knows it his seemingly innocent quest has opened a door into one of Barcelona’s darkest secrets, an epic story of murder, magic, madness and doomed love. And before long he realizes that if he doesn’t find out the truth about Julian Carax, he and those closest to him will suffer horribly.
";"https://covers.openlibrary.org/b/id/8345854-L.jpg"
"5";"Catching Fire";"Sparks are igniting.
Flames are spreading.
And the Capitol wants revenge.
Against all odds, Katniss has won the Hunger Games. She and fellow District 12 tribute Peeta Mellark are miraculously still alive. Katniss should be relieved, happy even. After all, she has returned to her family and her longtime friend, Gale. Yet nothing is the way Katniss wishes it to be. Gale holds her at an icy distance. Peeta has turned his back on her completely. And there are whispers of a rebellion against the Capitol - a rebellion that Katniss and Peeta may have helped create.
Much to her shock, Katniss has fueled an unrest she's afraid she cannot stop. And what scares her even more is that she's not entirely convinced she should try. As time draws near for Katniss and Peeta to visit the districts on the Capitol's cruel Victory Tour, the stakes are higher than ever. If they can't prove, without a shadow of a doubt, that they are lost in their love for each other, the consequences will be horrifying.
In Catching Fire, the second novel in the Hunger Games trilogy, Suzanne Collins continues the story of Katniss Everdeen, testing her more than ever before...and surprising readers at every turn.";"https://covers.openlibrary.org/b/id/8353612-L.jpg"
"6";"House of sand and fog";"A former colonel in the Iranian Air Force yearns to restore his family's dignity. A recovering alcoholic and addict down on her luck struggles to hold on to the one thing she has left. And her lover, a married cop, is driven to extremes to win her love.";"https://covers.openlibrary.org/b/id/8231772-L.jpg"
"7";"The seven habits of highly effective people";"In The Seven Habits of Highly Effective People, author Stephen R. Covey presents a holistic, integrated, principle-centered approach for solving personal and professional problems. With penetrating insights and pointed anecdotes, Covey reveals a step-by-step pathway for living with fairness, integrity, honesty, and human dignity—principles that give us the security to adapt to change, and the wisdom and power to take advantage of the opportunities that change creates.";"https://covers.openlibrary.org/b/id/7018591-L.jpg"
"8";"The curious incident of the dog in the night-time";"Despite his overwhelming fear of interacting with people, Christopher, a mathematically-gifted, autistic fifteen-year-old boy, decides to investigate the murder of a neighbor's dog and uncovers secret information about his mother.";"https://covers.openlibrary.org/b/id/7890719-L.jpg"
"9";"Cryptonomicon";"E-book extras: ""Stephensonia/Cryptonomica"": ONE: ""Cryptonomicon Cypher-FAQ"" (Neal addresses ""Frequently Anticipated Questions"" and other fascinating facts); TWO: ""Mother Earth Motherboard"" (Neal's landmark nonfiction account of, among other techno-feats, the laying of the longest telecommunications cable on earth); THREE: ""Press Conference"": Neal answers ""Why write about crypto?"" and other penetrating questions.The smash New York Times bestseller and cult classic is at last a special-features-loaded e-book. Dashing between World War II and the present day, Cryptonomicon is an epic adventure of codemakers and codebreakers; soldiers, hackers, spies, pirates, lovers, prisoners; power, secrets, conspiracies, great escapes -- and a buried fortune in gold.""Engrossing … insightful ... fascinating and often hysterical... Cryptonomicon is really three novels in one, featuring healthy portions of World War II adventure, cryptography, and high-tech finance, with treasure hunting thrown in for good measure... But that's only half of it."" —USA Today ""Hell of a read."" —WiredNeal Stephenson (Snow Crash; The Diamond Age) hacks into the secret histories of nations and the private obsessions of men, decrypting with dazzling virtuosity the forces that shaped the twentieth century — and that have led us into the twenty-first. In 1942, Lawrence Pritchard Waterhouse — mathematical genius and young Captain in the U.S. Navy — is assigned to Detachment 2702. It is an outfit so secret that only a handful of people know it exists, and some of those people have names like Churchill and Roosevelt. The mission of Waterhouse and Detachment 2702 — commanded by Marine Raider Bobby Shaftoe — is to keep the Nazis ignorant of the fact that Allied Intelligence has cracked the enemy's fabled Enigma code. It is a game, a cryptographic chess match between Waterhouse and his German counterpart, translated into action by gung-ho Shaftoe and his forces. Fast-forward to the present, where Waterhouse's crypto-hacker grandson, Randy, is attempting to create a ""data haven"" in Southeast Asia — a place where encrypted data can be stored and exchanged free of repression and scrutiny. As governments and multinationals attack the endeavor, Randy joins forces with Shaftoe's tough-as-nails granddaughter, Amy, to secretly salvage a sunken Nazi submarine that holds the key to keeping the dream of a data haven afloat. But soon their scheme brings to light a massive conspiracy with its roots in Detachment 2702, linked to an unbreakable Nazi code called Arethusa. And it will represent the path to unimaginable riches and a future of personal and digital liberty … or to universal totalitarianism reborn. A breathtaking tour de force and Neal Stephenson's most accomplished and affecting work to date, Cryptonomicon is profound and prophetic, hypnotic and hyper-driven, as it leaps forward and back between World War II and the World Wide Web, hinting all the while at a dark day-after-tomorrow. It is a work of great art, thought, and creative daring; the product of a truly iconoclastic imagination working with white-hot intensity.";"https://covers.openlibrary.org/b/id/7899684-L.jpg"
"10";"Winning ways, for your mathematical plays";"This is a text on games and how to play them intelligently. In this volume, the authors examine games played in clubs, giving case studies for coin and paper-and-pencil games, such as Dots-and-Boxes and Nimstring.";"https://covers.openlibrary.org/b/id/4325804-L.jpg"
"11";"The Name of the Rose";"It is the year 1327. Franciscans in an Italian abbey are suspected of heresy, but Brother William of Baskerville’s investigation is suddenly overshadowed by seven bizarre deaths.";"https://covers.openlibrary.org/b/id/115146-L.jpg"
"12";"The Stepford Wives";"For Joanna, her husband, Walter, and their children, the move to beautiful Stepford seems almost too good to be true. It is. For behind the town's idyllic facade lies a terrible secret -- a secret so shattering that no one who encounters it will ever be the same.";"https://covers.openlibrary.org/b/id/9158141-L.jpg"
"13";"A Long Way Gone";"This is how wars are fought now: by children, hopped-up on drugs and wielding AK-47s. Children have become soldiers of choice. In the more than fifty conflicts going on worldwide, it is estimated that there are some 300,000 child soldiers. Child soldiers have been profiled by journalists, and novelists have struggled to imagine their lives. But until now, there has not been a first-person account from someone who came through this hell and survived. Ishmael Beah, now 25 years old, tells how at the age of twelve, he fled attacking rebels and wandered a land rendered unrecognizable by violence. By thirteen, he'd been picked up by the government army, and Beah, at heart a gentle boy, found that he was capable of truly terrible acts.--From publisher description.";"https://covers.openlibrary.org/b/id/8294069-L.jpg"
"14";"The autobiography of Malcolm X";"Biography of the American black religious leader and activist who was born Malcolm Little, published in 1965. Written by Alex Haley, who had conducted extensive audiotaped interviews with Malcolm X just before his assassination in 1965, the book gained renown as a classic work on black American experience.";"https://covers.openlibrary.org/b/id/7885134-L.jpg"
"15";"One fish, two fish, red fish, blue fish";"A story-poem about the activities of such unusual animals as the Nook, Womp, Yink, Yap, Gack and the Zeds. A ""fabulous book of easy words, exciting pictures and inviting rhythm.""--Elementary English.";"https://covers.openlibrary.org/b/id/7363356-L.jpg"
"16";"Influence";"Influence, the classic book on persuasion, explains the psychology of why people say ""yes""—and how to apply these understandings. Dr. Robert Cialdini is the seminal expert in the rapidly expanding field of influence and persuasion. His thirty-five years of rigorous, evidence-based research along with a three-year program of study on what moves people to change behavior has resulted in this highly acclaimed book.";"https://covers.openlibrary.org/b/id/8284302-L.jpg"
